Codigo,NomeCatalogoAtual,NomeCadastro,DescricaoCadastro,EspecificacoesCadastro
1937,LUMI EMBUTIR NT- PL002A 6W 6500K,LUMI EMBUTIR NT- PL002A 6W 6500K,Luminária de embutir Slim PL-002A 6W Bivolt 6500K,CÓDIGO: 1937\REFERÊNCIA: 1937\POTÊNCIA(W): 6W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 6.500K\FLUXO LUMINOSO (lm): 380\DIMENSÕES: 118x118x11mm\TAMANHO DO FURO: 105X105mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
1938,LUMI LED EMBUTIR QD. NT- PL002A 6W 3000K,LUMI LED EMBUTIR QD. NT- PL002A 6W 3000K,Luminária de embutir Slim PL-002A 6W Bivolt 3000K,CÓDIGO: 1938\REFERÊNCIA: 1938\POTÊNCIA(W): 6W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 3.000K\FLUXO LUMINOSO (lm): 380\DIMENSÕES: 118x118x11mm\TAMANHO DO FURO: 105X105mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
1940,LUMIN DE SOBREPOR LT024K 24W BIVOLT 6500K .BRANCO REDOND,LUMIN DE SOBREPOR LT024K 24W BIVOLT 6500K .BRANCO REDOND,Luminária de sobrepor LT-024K 24W Bivolt 6500K,CÓDIGO: 1940\REFERÊNCIA: 1940\POTÊNCIA(W): 24W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 6.500K\FLUXO LUMINOSO (lm): 1.950\DIMENSÕES: Ø283x28mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
1941,LUMI LED EMBUTIR QD. NT-PL003A 12W 3000K,LUMI LED EMBUTIR QD. NT-PL003A 12W 3000K,Luminária de embutir Slim PL-003A 12W Bivolt 3000K,CÓDIGO: 1941\REFERÊNCIA: 1941\POTÊNCIA(W): 12W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 3000K\FLUXO LUMINOSO (lm): 840lm\DIMENSÕES: 167x167x11mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
1942,LUMI LED EMBUTIR Q NT-PL004A 18W 6500K,LUMI LED EMBUTIR Q NT-PL004A 18W 6500K,Luminária de embutir PL-004A 18W Bivolt 6500K,CÓDIGO: 1942\REFERÊNCIA: 1942\POTÊNCIA(W): 18W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 6.500K\FLUXO LUMINOSO (lm): 1450lm\FATOR DE POTÊNCIA: >0.5\DIMENSÕES: 219x219x11mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
2063,ESPETO LED LGP07-A 7W BIVOLT 3000K PRETO,ESPETO LED LGP07-A 7W BIVOLT 3000K PRETO,Luminária Espeto de Jardim Led LGP-07 7W Luz Amarela,CÓDIGO: 2063\REFERÊNCIA: 2063\TENSÃO(V): 100-240V\GARANTIA: 1 ano
2064,"ESPETO LED LGP07-V 7W BIVOLT LUZ VERDE, PROD. PRETO","ESPETO LED LGP07-V 7W BIVOLT LUZ VERDE, PROD. PRETO",Luminária Espeto de Jardim Led LGP-07 7W Luz Verde,CÓDIGO: 2064\REFERÊNCIA: 2064\TENSÃO(V): 100-240V\GARANTIA: 1 ano
2068,LUMIN DE MESA LM04B 4W BIVOLT 5000K BRANCO,LUMIN DE MESA LM04B 4W BIVOLT 5000K BRANCO,Luminária de Mesa LM04B 4w Bivolt 5000K Cor Branca,CÓDIGO: 2068\REFERÊNCIA: 2068\POTÊNCIA(W): 4W\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 320\TEMP. COR(K): 5.000K\DIMENSÕES: Ø125x337mm\GARANTIA: 1 ano
2069,LUMIN DE MESA LM04P 4W BIVOLT 5000K PRETO,LUMIN DE MESA LM04P 4W BIVOLT 5000K PRETO,Luminária de Mesa LM04P 4w Bivolt 5000K Cor Preta,CÓDIGO: 2069\REFERÊNCIA: 2069\POTÊNCIA(W): 4W\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 320\TEMP. COR(K): 5.000K\DIMENSÕES: Ø125x337mm\GARANTIA: 1 ano
2070,LUMIN DE MESA LM04A 4W BIVOLT 5000K AZUL,LUMIN DE MESA LM04A 4W BIVOLT 5000K AZUL,Luminária de mesa LM04A 4w bivolt 5000K cor Azul,CÓDIGO: 2070\REFERÊNCIA: 2070\POTÊNCIA(W): 4W\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 320\TEMP. COR(K): 5.000K\DIMENSÕES: Ø125x337mm\GARANTIA: 1 ano
2071,LUMIN DE MESA LM04R 4W BIVOLT 5000K ROSA,LUMIN DE MESA LM04R 4W BIVOLT 5000K ROSA,Luminária de Mesa LM04R 4w Bivolt 5000K Cor Rosa,CÓDIGO: 2071\REFERÊNCIA: 2071\POTÊNCIA(W): 4W\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 320\TEMP. COR(K): 5.000K\DIMENSÕES: Ø125x337mm\GARANTIA: 1 ano
2091,LUSTRE LTL-002 30W BIVOLT 4000K GU10,LUSTRE LTL-002 30W BIVOLT 4000K GU10,Lustre LTL-002 30W Bivolt 4000K GU10,CÓDIGO: 2091\REFERÊNCIA: 2091\POTÊNCIA(W): 30W\BASE: GU10\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 2.400\TEMP. COR(K): 6.500K\GARANTIA: 1 ano
2101,LUSTRE LTL-012 30W BIVOLT 4000K GU10,LUSTRE LTL-012 30W BIVOLT 4000K GU10,Lustre LTL-012 30W Bivolt 4000K GU10,CÓDIGO: 2101\REFERÊNCIA: 2101\POTÊNCIA(W): 30W\BASE: GU10\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 1.600\TEMP. COR(K): 4.000K\GARANTIA: 1 ano
2102,LUSTRE LTL-013 30W BIVOLT 4000K GU10,LUSTRE LTL-013 30W BIVOLT 4000K GU10,Lustre LTL-013 30W Bivolt 4000K GU10,CÓDIGO: 2102\REFERÊNCIA: 2102\POTÊNCIA(W): 30W\BASE: GU10\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 2.400\TEMP. COR(K): 4.000K\GARANTIA: 1 ano
2137,REFLET LED 50W 220V 6500K PRETO SMD,REFLET LED 50W 220V 6500K PRETO SMD,Refletor LED 50W Bivolt 6500K preto SMD,"CÓDIGO: 2137\REFERÊNCIA: 2137\POTÊNCIA(W): 50W\COR: Preto\TENSÃO(V): 100 ~ 240V\PROTEÇÃO: IP65\TEMP. COR: 6.500K\FLUXO LUMINOSO (lm): 4.000\DIMENSÕES: 215x15,5x22mm\GARANTIA: 1 ano"
2138,REFLET LED 10W BIVOLT 6500K PRETO SMD,REFLET LED 10W BIVOLT 6500K PRETO SMD,Refletor LED 10W Bivolt 6500K preto SMD,CÓDIGO: 2138\REFERÊNCIA: 2138\POTÊNCIA(W): 10W\COR: Preto\TENSÃO(V): 100 ~ 240V\PROTEÇÃO: IP65\TEMP. COR: 6.500K\FLUXO LUMINOSO (lm): 800\DIMENSÕES: 100x80x20mm\GARANTIA: 1 ano
2139,REFLET LED 20W BIVOLT 6500K PRETO SMD,REFLET LED 20W BIVOLT 6500K PRETO SMD,Refletor LED 20W Bivolt 6500K preto SMD,CÓDIGO: 2139\REFERÊNCIA: 2139\POTÊNCIA(W): 20W\COR: Preto\TENSÃO(V): 100 ~ 240V\PROTEÇÃO: IP65\TEMP. COR: 6.500K\FLUXO LUMINOSO (lm): 1.600\DIMENSÕES: 115x82x20mm\GARANTIA: 1 ano
2140,REFLET LED 30W BIVOLT 6500K PRETO SMD,REFLET LED 30W BIVOLT 6500K PRETO SMD,Refletor LED 30W Bivolt 6500K preto SMD,CÓDIGO: 2140\REFERÊNCIA: 2140\POTÊNCIA(W): 30W\COR: Preto\TENSÃO(V): 100 ~ 240V\PROTEÇÃO: IP65\TEMP. COR: 6.500K\FLUXO LUMINOSO (lm): 2.400\DIMENSÕES: 164x118x20mm\GARANTIA: 1 ano
2141,REFLET LED 100W BIVOLT 6500K PRETO SMD,REFLET LED 100W BIVOLT 6500K PRETO SMD,Refletor LED 100W Bivolt 6500K preto SMD,CÓDIGO: 2141\REFERÊNCIA: 2141\POTÊNCIA(W): 100W\COR: Preto\TENSÃO(V): 100 ~ 240V\PROTEÇÃO: IP65\TEMP. COR: 6.500K\FLUXO LUMINOSO (lm): 10.000\DIMENSÕES: 270x210x30mm\GARANTIA: 1 ano
2145,LUSTRE LTL-010 GU10 4000K 20W BIVOLT,LUSTRE LTL-010 GU10 4000K 20W BIVOLT,Lustre LTL-010 20W Bivolt 4000K GU10,CÓDIGO: 2145\REFERÊNCIA: 2145\POTÊNCIA(W): 20W\BASE: GU10\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 1.600\TEMP. COR(K): 4.000K\GARANTIA: 1 ano
2146,LUSTRE LT-002A E14X5,LUSTRE LT-002A E14X5,Lustre Vidro 40cm 5 Lâmpadas Soquete E14 LT-002A Ambar,CÓDIGO: 2146\REFERÊNCIA: 2146\BASE: E14\TENSÃO(V): 100-240V\GARANTIA: 1 ano
2147,LUSTRE LT-002B PRATA E14X5,LUSTRE LT-002B PRATA E14X5,Lustre Vidro 40cm 5 Lâmpadas Soquete E14 LT-002B Prata,CÓDIGO: 2147\REFERÊNCIA: 2147\BASE: E14\TENSÃO(V): 100-240V\GARANTIA: 1 ano
2159,LUMIN DE EMBUTIR 3W NX03R BIVOLT 6500K,LUMIN DE EMBUTIR 3W NX03R BIVOLT 6500K,Luminária de embutir 3W NX03R Bivolt 6500K,CÓDIGO: 2159\REFERÊNCIA: 2159\POTÊNCIA(W): 3W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 6.500K\DIMENSÕES: Ø67x35mm\GARANTIA: 1 ano
2160,LUMIN DE EMBUTIR 3W NX03R BIVOLT 3000K,LUMIN DE EMBUTIR 3W NX03R BIVOLT 3000K,Luminária de embutir 3W NX03R Bivolt 3000K,CÓDIGO: 2160\REFERÊNCIA: 2160\POTÊNCIA(W): 3W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 3.000K\DIMENSÕES: Ø67x35mm\GARANTIA: 1 ano
2161,LUMIN EMBUTIR NX-03Q 3W 6500K,LUMIN EMBUTIR NX-03Q 3W 6500K,Luminária de embutir 3W NX03R Bivolt 6500K,CÓDIGO: 2161\REFERÊNCIA: 2161\POTÊNCIA(W): 3W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 6.500K\DIMENSÕES: 75x75x40mm\GARANTIA: 1 ano
2162,LUMI LED EMBUTIR NX-03Q 3W 3000K,LUMI LED EMBUTIR NX-03Q 3W 3000K,Luminária de embutir 3W NX03R Bivolt 3000K,CÓDIGO: 2162\REFERÊNCIA: 2162\POTÊNCIA(W): 3W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 3.000K\DIMENSÕES: 75x75x40mm\GARANTIA: 1 ano
2166,ESPETO LGP 5W BIVOLT VERDE,ESPETO LGP 5W BIVOLT VERDE,Espeto plástico para jardim LED LGP Mini - VERDE IP65,CÓDIGO: 2166\REFERÊNCIA: 2166\POTÊNCIA(W): 5W\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 350\TEMP. COR(K): Verde\DIMENSÕES: 265x60mm\GARANTIA: 1 ano
2167,LUM ESPETO DE JARDIM LED LGP-05 5W 3000K,LUM ESPETO DE JARDIM LED LGP-05 5W 3000K,Luminária Espeto de Jardim Led LGP-05 5W Luz Amarela,CÓDIGO: 2167\REFERÊNCIA: 2167\TENSÃO(V): 100-240V\GARANTIA: 1 ano
2168,LUMINÁRIA SPOT NX-01Q 1.2W 3000K,LUMINÁRIA SPOT NX-01Q 1.2W 3000K,Luminária de embutir 1.2W NX-01Q 3000K,CÓDIGO: 2168\REFERÊNCIA: 2168\POTÊNCIA(W): 1.2W\TENSÃO(V): 100-240V\IRC: >80\ TEMP. COR(K): 3000K\DIMENSÕES: 35x35x29mm\GARANTIA: 1 ano
2169,ESPETO LGP BIVOLT 5W 6500K,ESPETO LGP BIVOLT 5W 6500K,Luminária Espeto de Jardim Led LGP-05 5W Luz branca,CÓDIGO: 2169\REFERÊNCIA: 2169\POTÊNCIA(W): 5W\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 350\TEMP. COR(K): 6500K\DIMENSÕES: 234x60mm\GARANTIA: 1 ano
2212,REFLET LED 50W BIVOLT 3000K SMD PRETO,REFLET LED 50W BIVOLT 3000K SMD PRETO,Refletor LED 50W Bivolt 3000K preto SMD,CÓDIGO: 2212\REFERÊNCIA: 2212\POTÊNCIA(W): 50W\COR: Preto\TENSÃO(V): 100 ~ 240V\PROTEÇÃO: IP65\TEMP. COR: 3.000K\FLUXO LUMINOSO (lm): 3.800\DIMENSÕES: 205x160x30mm\GARANTIA: 1 ano
2213,REFLET LED 200W BIVOLT 6500K PRETO SMD,REFLET LED 200W BIVOLT 6500K PRETO SMD,Refletor LED 200W Bivolt 6500K preto SMD,CÓDIGO: 2213\REFERÊNCIA: 2213\POTÊNCIA(W): 200W\COR: Preto\TENSÃO(V): 100 ~ 240V\PROTEÇÃO: IP65\TEMP. COR: 6.500K\FLUXO LUMINOSO (lm): 16.000\DIMENSÕES: 380x280x35mm\GARANTIA: 1 ano
2260,LAMP LED T-160 BULBO 65W BIVOLT 6500K E27,LAMP LED T-160 BULBO 65W BIVOLT 6500K E27,Lâmpada Bulbo LED T160 65W 6500K Socket E27,CÓDIGO: 2260\REFERÊNCIA: 2260\POTÊNCIA(W): 65W\BASE: E27\FLUXO LUMINOSO (lm): 5400lm\TEMP. COR(K): 6.500K\TENSÃO(V): 100-240V\FREQUÊNCIA: 50/60Hz\DIMENSÃO APROX: 160x254mm\VIDA ÚTIL (L70): 25.000h\ ÂNGULO: 230°\PESO: 326g\GARANTIA: 2 anos
2261,LAMP LED BULBO T135 80W 6500K E27/40,LAMP LED BULBO T135 80W 6500K E27/40,Lâmpada Alta potência LED Bulbo 80W T-135 Bivolt 6500K E27/40,CÓDIGO: 2261\REFERÊNCIA: 2261\POTÊNCIA(W): 80W\BASE: E27/E40\CORRENTE: 0.62A 127V 0.36A 220V\FLUXO LUMINOSO (lm): 6400lm\TEMP. COR(K): 6.500K\TENSÃO(V): 100-240V\FREQUÊNCIA: 60Hz\DIMENSÃO APROX: 135x258mm\IRC: 80\FATOR DE POTÊNCIA: 0.5\VIDA ÚTIL (L70): 25.000h\ ÂNGULO: 180°\GARANTIA: 2 anos
2266,ARANDELA 8W BIVOLT 6500K BRANCO,ARANDELA 8W BIVOLT 6500K BRANCO,Arandela LED 8W Bivolt 6500K Branca,CÓDIGO: 2266\REFERÊNCIA: 2266\POTÊNCIA(W): 8W\COR: Branca\TENSÃO(V): 100 ~ 240V\PROTEÇÃO: IP44\TEMP. COR: 6.500K\FLUXO LUMINOSO (lm): 650\DIMENSÕES: 240x116x52mm\GARANTIA: 1 ano
2267,ARANDELA 8W BIVOLT 3000K BRANCO,ARANDELA 8W BIVOLT 3000K BRANCO,Arandela LED 8W Bivolt 3000K Branca,CÓDIGO: 2267\REFERÊNCIA: 2267\POTÊNCIA(W): 8W\COR: Branca\TENSÃO(V): 100 ~ 240V\PROTEÇÃO: IP44\TEMP. COR: 3.000K\FLUXO LUMINOSO (lm): 650\DIMENSÕES: 240x116x52mm\GARANTIA: 1 ano
2268,LUMI LED EMBUTIR NL-05R 5W 6500K,LUMI LED EMBUTIR NL-05R 5W 6500K,Luminária LED de embutir NL-05R 5W 6500K,CÓDIGO: 2268\REFERÊNCIA: 2268\POTÊNCIA(W): 5W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 6500K\FLUXO LUMINOSO (lm): 400\DIMENSÕES: 90X90X45\TAMANHO DO FURO: Ø75\VIDA ÚTIL: 25.000h\GARANTIA: 1 ano
2269,LUMI LED EMBUTIR NL-05R 5W 3000K,LUMI LED EMBUTIR NL-05R 5W 3000K,Luminária LED de embutir NL-05R 5W 3000K,CÓDIGO: 2269\REFERÊNCIA: 2269\POTÊNCIA(W): 5W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 3000K\FLUXO LUMINOSO (lm): 400\DIMENSÕES: 90X90X45mm\TAMANHO DO FURO: Ø75\VIDA ÚTIL: 25.000h\GARANTIA: 1 ano
2270,LUMI LED EMBUTIR NL-05Q 5W 6500K,LUMI LED EMBUTIR NL-05Q 5W 6500K,Luminária LED de embutir NL-05Q 5W 6500K,CÓDIGO: 2270\REFERÊNCIA: 2270\POTÊNCIA(W): 5W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 6500K\FLUXO LUMINOSO (lm): 400\DIMENSÕES: 90X90X45mm\TAMANHO DO FURO: Ø75\VIDA ÚTIL: 25.000h\GARANTIA: 1 ano
2271,LUMI LED EMBUTIR NL-05Q 5W 3000K,LUMI LED EMBUTIR NL-05Q 5W 3000K,Luminária LED de embutir NL-05Q 5W 3000K,CÓDIGO: 2271\REFERÊNCIA: 2271\POTÊNCIA(W): 5W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 3000K\FLUXO LUMINOSO (lm): 400\DIMENSÕES: 90X90X45mm\TAMANHO DO FURO: Ø75\VIDA ÚTIL: 25.000h\GARANTIA: 1 ano
2282,REFLET LED 150W SMD BIVOLT 6500K PRETO,REFLET LED 150W SMD BIVOLT 6500K PRETO,Refletor LED 150W Bivolt 6500K preto SMD,CÓDIGO: 2282\REFERÊNCIA: 2282\POTÊNCIA(W): 150W\COR: Preto\TENSÃO(V): 100 ~ 240V\PROTEÇÃO: IP65\TEMP. COR: 6.500K\FLUXO LUMINOSO (lm): 12.000\DIMENSÕES: 320x230x30mm\GARANTIA: 1 ano
2286,LAMP BULBO FILAMENTO LED A60 4W BIVOLT 2200K E27,LAMP BULBO FILAMENTO LED A60 4W BIVOLT 2200K E27,Lâmpada com Filamento LED A60 4W Bivolt 2200K E27,CÓDIGO: 2286\REFERÊNCIA: 2286\POTÊNCIA(W): 4W\BASE: E27\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 360\ TEMP. COR(K): 2.200K\GARANTIA: 1 ano
2287,LAMP FILAMENTO LED ST64 4W BIVOLT 2200K E27,LAMP FILAMENTO LED ST64 4W BIVOLT 2200K E27,Lâmpada com Filamento LED ST64 4W Bivolt 2200K Socket E27,CÓDIGO: 2287\REFERÊNCIA: 2287\POTÊNCIA(W): 4W\BASE: E27\TENSÃO(V): 100-240V\ TEMP. COR(K): 2.200K\GARANTIA: 1 ano
2295,REFLET LED 30W BIVOLT 3000K PRETO,REFLET LED 30W BIVOLT 3000K PRETO,Refletor LED 30W Bivolt 3000K preto SMD,CÓDIGO: 2295\REFERÊNCIA: 2295\POTÊNCIA(W): 30W\COR: Preto\TENSÃO(V): 100 ~ 240V\PROTEÇÃO: IP65\TEMP. COR: 3.000K\FLUXO LUMINOSO (lm): 3.000\DIMENSÕES: 170x150x30mm\GARANTIA: 1 ano
2304,ARANDELA LED AL03 BR 3W 3000K BRANCO,ARANDELA LED AL03 BR 3W 3000K BRANCO,Arandela LED AL03 BR 3W 3000K Branca,CÓDIGO: 2304\REFERÊNCIA: 2304\POTÊNCIA(W): 3W\COR: Branca\TENSÃO(V): 100 ~ 240V\PROTEÇÃO: IP65\TEMP. COR: 3.000K\FLUXO LUMINOSO (lm): 180\DIMENSÕES: 120x120x50mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
2305,ARANDELA LED AL03 PR 3W 3000K PRETO,ARANDELA LED AL03 PR 3W 3000K PRETO,Arandela LED AL03 BR 3W 3000K Preta,CÓDIGO: 2305\REFERÊNCIA: 2305\POTÊNCIA(W): 3W\COR: Preta\TENSÃO(V): 100 ~ 240V\PROTEÇÃO: IP65\TEMP. COR: 3.000K\FLUXO LUMINOSO (lm): 180\DIMENSÕES: 120x120x50mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
2306,ARANDELA LED AL03 MR 3W 3000K MARROM,ARANDELA LED AL03 MR 3W 3000K MARROM,Arandela LED AL03 BR 3W 3000K Marrom,CÓDIGO: 2306\REFERÊNCIA: 2306\POTÊNCIA(W): 3W\COR: Marrom\TENSÃO(V): 100 ~ 240V\PROTEÇÃO: IP65\TEMP. COR: 3.000K\FLUXO LUMINOSO (lm): 180\DIMENSÕES: 120x120x50mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
2307,SPOT LED EXT SELO1 PR 6W 6500K,SPOT LED EXT SELO1 PR 6W 6500K,Spot LED Externo Preto SEL01 PR 6W 6500K,"CÓDIGO: 2307\REFERÊNCIA: 2307\POTÊNCIA(W): 6W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 6500K\FLUXO LUMINOSO (lm): 420\DIMENSÕES: Ø12X14,5XØ5,6\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano"
2308,SPOT LED EXT SELO1 PR 6W 3000K,SPOT LED EXT SELO1 PR 6W 3000K,Spot LED Externo Preto SEL01 PR 6W 3000K,"CÓDIGO: 2308\REFERÊNCIA: 2308\POTÊNCIA(W): 6W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 3000K\FLUXO LUMINOSO (lm): 420\DIMENSÕES: Ø12X14,5XØ5,6\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano"
2309,SPOT LED EXT SELO1 PR 6W VERDE,SPOT LED EXT SELO1 PR 6W VERDE,Spot LED Externo Branco SEL01 PR 6W Verde,"CÓDIGO: 2309\REFERÊNCIA: 2309\POTÊNCIA(W): 6W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): VERDE\FLUXO LUMINOSO (lm): 420\DIMENSÕES: Ø12X14,5XØ5,6\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano"
2312,ARANDELA LG6105 E27 PRETO,ARANDELA LG6105 E27 PRETO,Arandela LG6105 preto E27 IP43,CÓDIGO: 2312\REFERÊNCIA: 2312\POTÊNCIA(W): 60W\BASE: E27\TENSÃO(V): 220/240v ~ 50Hz AC 110/130 ~ 60Hz\ TIPO DE LÂMPADA: Padrão (lâmpada não fornecida)\MATERIAL: Alumínio fundido + Difusor de vidro\GRAU DE PROTEÇÃO: IP43\GARANTIA: 1 ano
2313,ARANDELA LG6105 E27 BRANCO,ARANDELA LG6105 E27 BRANCO,Arandela LG6105 branco E27 IP43,CÓDIGO: 2313\REFERÊNCIA: 2313\POTÊNCIA(W): 60W\BASE: E27\TENSÃO(V): 220/240v ~ 50Hz AC 110/130 ~ 60Hz\ TIPO DE LÂMPADA: Padrão (lâmpada não fornecida)\MATERIAL: Alumínio fundido + Difusor de vidro\GRAU DE PROTEÇÃO: IP43\GARANTIA: 1 ano
2328,LUMINÁRIA LUSTRE LTP-002 SMD 45W 3 EM 1,LUMINÁRIA LUSTRE LTP-002 SMD 45W 3 EM 1,Lustre LTP-002 SMD 45W 3 em 1,CÓDIGO: 2328\REFERÊNCIA: 2328\BASE: SMD\POTÊNCIA: 45W\TENSÃO(V): 100-240V\GARANTIA: 1 ano
2329,LUSTRE LTP-003 SMD 60W 3 EM 1,LUSTRE LTP-003 SMD 60W 3 EM 1,Lustre LTP-003 SMD 60W 3 em 1,CÓDIGO: 2329\REFERÊNCIA: 2329\BASE: SMD\TENSÃO(V): 100-240V\GARANTIA: 1 ano
2330,LUSTRE LTP-004 SMD 60W 3 EM 1,LUSTRE LTP-004 SMD 60W 3 EM 1,Lustre LTP-004 SMD 60W 3 em 1,CÓDIGO: 2330\REFERÊNCIA: 2330\BASE: SMD\POTÊNCIA: 60W\TENSÃO(V): 100-240V\GARANTIA: 1 ano
2332,LUSTRE LTX-002 SMD 36W 3 EM 1,LUSTRE LTX-002 SMD 36W 3 EM 1,Lustre LTX-002 SMD 36W 3em1,CÓDIGO: 2232\REFERÊNCIA: 2232\BASE: SMD\POTÊNCIA: 36W\TENSÃO(V): 100-240V\GARANTIA: 1 ano
2353,LUMIN BOCAL PENDENTES BRONZE E27,LUMIN BOCAL PENDENTES BRONZE E27,Luminária Bocal Pendente Socket E27 Cor Bronze,CÓDIGO: 2353\REFERÊNCIA: 2353\BASE: E27\TENSÃO(V): 100-240V\GARANTIA: 1 ano
2354,LUMIN BOCAL PENDENTES COBRE E27,LUMIN BOCAL PENDENTES COBRE E27,Luminária Bocal Pendente Socket E27 Cor Cobre,CÓDIGO: 2354\REFERÊNCIA: 2354\BASE: E27\TENSÃO(V): 100-240V\GARANTIA: 1 ano
2355,LUM BOCAL PENDENTES GRAFITE E27,LUM BOCAL PENDENTES GRAFITE E27,Luminária Bocal Pendente Socket E27 Cor Grafite,CÓDIGO: 2355\REFERÊNCIA: 2355\BASE: E27\TENSÃO(V): 100-240V\GARANTIA: 1 ano
2356,LUMIN BOCAL PENDENTES OURO E27,LUMIN BOCAL PENDENTES OURO E27,Luminária Bocal Pendente Socket E27 Cor Ouro,CÓDIGO: 2356\REFERÊNCIA: 2356\BASE: E27\TENSÃO(V): 100-240V\GARANTIA: 1 ano
2371,LUMINARIA TARTARUGA LED 12W 3000K,LUMINARIA TARTARUGA LED 12W 3000K,Luminária Tartaruga LED 12W 3000K,CÓDIGO: 2371\REFERÊNCIA: 2371\TENSÃO(V): 100-240V\POTÊNCIA: 12W\ TEMP. COR(K): 3000K\FLUXO LUMINOSO (lm): 960\DIMENSÕES: 198x96x53mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
2375,LUSTRE LT-003A E14-1,LUSTRE LT-003A E14-1,Lustre Vidro 21cm 1 Lâmpada Soquete E14 LT-003A Ambar,CÓDIGO: 2375\REFERÊNCIA: 2375\BASE: E14\TENSÃO(V): 100-240V\GARANTIA: 1 ano
2376,LUSTRE LT-003B E14x1,LUSTRE LT-003B E14x1,Lustre Vidro 21cm 1 Lâmpada Soquete E14 LT-003B Prata,CÓDIGO: 2376\REFERÊNCIA: 2376\BASE: E14\TENSÃO(V): 100-240V\GARANTIA: 1 ano
2378,LUSTRE LTP-005 SMD 30W 3 EM 1,LUSTRE LTP-005 SMD 30W 3 EM 1,Lustre LTP-005 SMD 30W 3 EM 1,CÓDIGO: 2378\REFERÊNCIA: 2378\BASE: SMD\TENSÃO(V): 100-240V\GARANTIA: 1 ano
2424,LUMINARIA CORDA PC01 D300 E27,LUMINARIA CORDA PC01 D300 E27,Luminária Corda Soquete E27,CÓDIGO: 2424\REFERÊNCIA: 2424\POTÊNCIA: 40W\BASE: E27\TENSÃO(V): 100-240V\DIMENSÕES: Ø300x180mm\GARANTIA: 1 ano
2434,LUMINARIAS DE MESA ARTICULADA COBRE E27,LUMINARIAS DE MESA ARTICULADA COBRE E27,Luminária de Mesa Articulada Cor Cobre Socket E27,CÓDIGO: 2434\REFERÊNCIA: 2434\TENSÃO(V): 100-240V\GARANTIA: 1 ano
2435,LUMINARIAS DE MESA ARTICULADA PRETA E27,LUMINARIAS DE MESA ARTICULADA PRETA E27,Luminária de Mesa Articulada Cor Preta Socket E27,CÓDIGO: 2435\REFERÊNCIA: 2435\TENSÃO(V): 100-240V\GARANTIA: 1 ano
2436,LUMINARIAS DE MESA ARTICULADA BRANCA E27,LUMINARIAS DE MESA ARTICULADA BRANCA E27,Luminária de Mesa Articulada Cor Branca Socket E27,CÓDIGO: 2436\REFERÊNCIA: 2436\TENSÃO(V): 100-240V\GARANTIA: 1 ano
